id,gender,age,age_o,race,race_o,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,match
1006,male,24,27,Other,Asian/Pacific Islander/Asian-American,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,6.0,6.0,7.0,5.0,6.0,5.0,10.0,25.0,25.0,10.0,10.0,20.0,8.0,6.0,8.0,5.0,8.0,5.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,-0.17,5,1,5.0,6.0,7.0,0,1
1007,male,24,23,Other,Other,3,3,law,20.0,20.0,20.0,20.0,10.0,10.0,7,7,8,8,8,6.0,7.0,6.0,8.0,6.0,5.0,17.0,17.0,17.0,17.0,17.0,15.0,5.0,8.0,7.0,6.0,8.0,5.0,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,0.5,5,1,5.0,6.0,7.0,0,0
1008,female,34,28,European/Caucasian-American,Asian/Pacific Islander/Asian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,5.0,5.0,5.0,10.0,8.0,,20.0,20.0,20.0,10.0,10.0,20.0,6.0,6.0,6.0,7.0,7.0,6.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.21,6,4,4.0,5.0,5.0,0,1
1009,female,34,26,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,4.0,5.0,5.0,4.0,6.0,,18.0,18.0,18.0,19.0,13.0,14.0,6.0,6.0,7.0,8.0,4.0,6.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,-0.18,6,4,4.0,2.0,2.0,0,0
1010,female,34,26,European/Caucasian-American,Latino/Hispanic American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,2.0,10.0,4.0,4.0,4.0,,10.0,20.0,20.0,22.0,6.0,22.0,6.0,7.0,7.0,8.0,,,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.65,6,4,4.0,2.0,2.0,0,0
1011,female,34,29,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,10.0,8.0,10.0,8.0,,,50.0,7.0,20.0,23.0,0.0,0.0,4.0,6.0,7.0,7.0,7.0,7.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.08,6,4,4.0,10.0,7.0,0,0
1012,female,34,39,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,2.0,10.0,5.0,2.0,,,40.0,20.0,15.0,20.0,0.0,5.0,10.0,10.0,10.0,,,,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.24,6,4,4.0,2.0,2.0,0,0
1013,female,34,28,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,6.0,8.0,8.0,6.0,8.0,,30.0,30.0,20.0,10.0,10.0,0.0,4.0,7.0,8.0,5.0,7.0,3.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.71,6,4,4.0,2.0,2.0,0,0
1014,female,34,30,European/Caucasian-American,Other,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,1.0,10.0,,,,,20.0,25.0,25.0,15.0,5.0,10.0,4.0,7.0,8.0,7.0,7.0,4.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.51,6,4,4.0,1.0,1.0,0,0
1015,female,34,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,1.0,10.0,5.0,,,,40.0,8.0,10.0,12.0,10.0,20.0,7.0,7.0,8.0,8.0,,6.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.15,6,4,4.0,2.0,2.0,,0
1016,female,34,32,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,1.0,,8.0,1.0,,3.0,30.0,10.0,30.0,20.0,10.0,0.0,5.0,7.0,8.0,10.0,6.0,9.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.02,6,4,4.0,2.0,2.0,0,0
1017,female,34,26,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,6.0,,5.0,,10.0,,40.0,5.0,20.0,10.0,10.0,15.0,6.0,8.0,9.0,7.0,7.0,7.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,-0.05,6,4,4.0,2.0,2.0,0,0
1018,female,34,27,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,2.0,3.0,5.0,5.0,,,20.0,15.0,25.0,15.0,20.0,5.0,6.0,8.0,7.0,6.0,6.0,5.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.19,6,4,4.0,2.0,2.0,0,0
1019,female,34,25,European/Caucasian-American,Black/African American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,5.0,7.0,8.0,8.0,,,30.0,15.0,20.0,20.0,0.0,5.0,7.0,7.0,8.0,9.0,8.0,7.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.02,6,4,4.0,5.0,5.0,0,1
102,male,27,25,European/Caucasian-American,European/Caucasian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,7.0,8.0,6.0,5.0,8.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,10.0,7.0,8.0,9.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.24,7,3,0.0,5.0,2.0,1,0
1020,female,34,22,European/Caucasian-American,Latino/Hispanic American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,4.0,8.0,8.0,6.0,6.0,,10.0,20.0,35.0,10.0,5.0,20.0,8.0,3.0,7.0,8.0,4.0,,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.06,6,4,4.0,5.0,5.0,0,0
1021,female,34,21,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,8.0,6.0,7.0,10.0,,8.0,19.0,24.0,21.0,23.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.36,6,4,4.0,10.0,5.0,0,1
1022,female,34,24,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,5.0,5.0,5.0,5.0,8.0,8.0,10.0,20.0,35.0,20.0,0.0,15.0,7.0,7.0,8.0,7.0,5.0,8.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.32,6,4,4.0,5.0,5.0,0,0
1023,female,34,25,European/Caucasian-American,Asian/Pacific Islander/Asian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,5.0,5.0,6.0,10.0,7.0,,15.0,10.0,30.0,10.0,5.0,30.0,8.0,10.0,8.0,8.0,8.0,7.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.63,6,4,4.0,5.0,5.0,0,1
1024,female,34,28,European/Caucasian-American,European/Caucasian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,5.0,5.0,6.0,7.0,6.0,,20.0,20.0,15.0,15.0,5.0,25.0,6.0,6.0,8.0,8.0,7.0,3.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.53,6,4,4.0,5.0,5.0,0,1
1025,female,34,27,European/Caucasian-American,Asian/Pacific Islander/Asian-American,5,7,Classics,10.0,10.0,30.0,20.0,10.0,20.0,6,6,6,8,4,2.0,8.0,8.0,,,,20.0,20.0,20.0,20.0,10.0,10.0,3.0,4.0,8.0,8.0,6.0,4.0,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,0.43,6,4,4.0,5.0,5.0,0,0
1026,female,22,28,European/Caucasian-American,Asian/Pacific Islander/Asian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,4.0,7.0,8.0,10.0,7.0,7.0,20.0,20.0,20.0,10.0,10.0,20.0,8.0,8.0,7.0,7.0,7.0,5.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.56,6,4,,8.0,4.0,0,1
1027,female,22,26,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,4.0,6.0,6.0,6.0,5.0,7.0,18.0,18.0,18.0,19.0,13.0,14.0,4.0,6.0,5.0,6.0,5.0,5.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,-0.2,6,4,,4.0,6.0,0,0
1028,female,22,26,European/Caucasian-American,Latino/Hispanic American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,4.0,6.0,7.0,4.0,6.0,2.0,10.0,20.0,20.0,22.0,6.0,22.0,7.0,7.0,7.0,6.0,,,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.28,6,4,,4.0,1.0,0,0
1029,female,22,29,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,6.0,5.0,6.0,7.0,6.0,7.0,50.0,7.0,20.0,23.0,0.0,0.0,6.0,9.0,9.0,9.0,6.0,6.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,-0.05,6,4,,6.0,4.0,0,1
103,male,27,23,European/Caucasian-American,European/Caucasian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,6.0,7.0,8.0,7.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,10.0,8.0,5.0,8.0,7.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.18,7,3,0.0,6.0,3.0,0,0
1030,female,22,39,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,8.0,9.0,9.0,6.0,7.0,5.0,40.0,20.0,15.0,20.0,0.0,5.0,10.0,10.0,10.0,,,,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.16,6,4,,8.0,5.0,0,1
1031,female,22,28,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,10.0,7.0,8.0,7.0,9.0,9.0,30.0,30.0,20.0,10.0,10.0,0.0,8.0,8.0,9.0,8.0,8.0,9.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.55,6,4,,10.0,5.0,0,1
1032,female,22,30,European/Caucasian-American,Other,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,4.0,6.0,6.0,4.0,,,20.0,25.0,25.0,15.0,5.0,10.0,8.0,7.0,6.0,5.0,5.0,4.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.45,6,4,,4.0,7.0,0,0
1033,female,22,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,3.0,5.0,6.0,3.0,,2.0,40.0,8.0,10.0,12.0,10.0,20.0,7.0,,6.0,5.0,,,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,-0.21,6,4,,3.0,6.0,0,0
1034,female,22,32,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,6.0,7.0,6.0,7.0,4.0,6.0,30.0,10.0,30.0,20.0,10.0,0.0,4.0,5.0,6.0,6.0,6.0,6.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.0,6,4,,7.0,6.0,0,0
1035,female,22,26,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,9.0,7.0,7.0,10.0,8.0,7.0,40.0,5.0,20.0,10.0,10.0,15.0,6.0,7.0,7.0,7.0,7.0,5.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.15,6,4,,8.0,5.0,0,0
1036,female,22,27,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,6.0,6.0,5.0,5.0,5.0,6.0,20.0,15.0,25.0,15.0,20.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.63,6,4,,4.0,3.0,0,0
1037,female,22,25,European/Caucasian-American,Black/African American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,7.0,7.0,8.0,10.0,9.0,8.0,30.0,15.0,20.0,20.0,0.0,5.0,8.0,7.0,8.0,8.0,7.0,7.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,-0.28,6,4,,9.0,5.0,0,1
1038,female,22,22,European/Caucasian-American,Latino/Hispanic American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,5.0,6.0,7.0,5.0,6.0,4.0,10.0,20.0,35.0,10.0,5.0,20.0,7.0,5.0,7.0,6.0,4.0,,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,-0.11,6,4,,4.0,5.0,0,0
104,male,27,21,European/Caucasian-American,European/Caucasian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,6.0,8.0,8.0,8.0,7.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,5.0,8.0,8.0,2.0,2.0,2.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.43,7,3,0.0,6.0,5.0,0,0
1040,female,22,24,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,9.0,7.0,7.0,9.0,6.0,5.0,10.0,20.0,35.0,20.0,0.0,15.0,9.0,6.0,7.0,6.0,5.0,3.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.41,6,4,,8.0,6.0,0,0
1041,female,22,25,European/Caucasian-American,Asian/Pacific Islander/Asian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,6.0,7.0,7.0,6.0,7.0,7.0,15.0,10.0,30.0,10.0,5.0,30.0,7.0,10.0,8.0,7.0,5.0,4.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.56,6,4,,7.0,4.0,0,0
1042,female,22,28,European/Caucasian-American,European/Caucasian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,8.0,9.0,8.0,9.0,9.0,8.0,20.0,20.0,15.0,15.0,5.0,25.0,6.0,7.0,8.0,6.0,9.0,8.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.76,6,4,,8.0,4.0,0,0
1043,female,22,27,European/Caucasian-American,Asian/Pacific Islander/Asian-American,2,2,Social Work,15.0,20.0,20.0,20.0,15.0,10.0,6,8,8,8,8,4.0,6.0,7.0,4.0,5.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,7.0,7.0,5.0,6.0,5.0,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,0.29,6,4,,3.0,2.0,0,0
1044,female,23,28,Latino/Hispanic American,Asian/Pacific Islander/Asian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,4.0,2.0,9.0,2.0,10.0,2.0,20.0,20.0,20.0,10.0,10.0,20.0,7.0,5.0,6.0,6.0,5.0,3.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.69,7,0,1.0,5.0,1.0,0,0
1045,female,23,26,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,2.0,4.0,9.0,4.0,9.0,6.0,18.0,18.0,18.0,19.0,13.0,14.0,5.0,6.0,7.0,4.0,4.0,6.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,-0.16,7,0,1.0,5.0,1.0,0,0
1046,female,23,26,Latino/Hispanic American,Latino/Hispanic American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,2.0,5.0,9.0,2.0,9.0,2.0,10.0,20.0,20.0,22.0,6.0,22.0,6.0,6.0,6.0,6.0,6.0,,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.55,7,0,1.0,7.0,2.0,0,0
1047,female,23,29,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,9.0,5.0,9.0,,,2.0,50.0,7.0,20.0,23.0,0.0,0.0,8.0,7.0,8.0,7.0,6.0,5.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.14,7,0,1.0,4.0,1.0,0,0
1048,female,23,39,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,7.0,9.0,9.0,2.0,9.0,2.0,40.0,20.0,15.0,20.0,0.0,5.0,10.0,10.0,10.0,,,,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.29,7,0,1.0,7.0,2.0,0,0
1049,female,23,28,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,7.0,9.0,9.0,9.0,,9.0,30.0,30.0,20.0,10.0,10.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.43,7,0,1.0,8.0,2.0,0,0
105,male,27,23,European/Caucasian-American,Asian/Pacific Islander/Asian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,7.0,9.0,8.0,9.0,8.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,7.0,6.0,7.0,6.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.33,7,3,0.0,7.0,4.0,0,0
1050,female,23,30,Latino/Hispanic American,Other,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,2.0,9.0,9.0,4.0,,,20.0,25.0,25.0,15.0,5.0,10.0,8.0,8.0,7.0,7.0,8.0,8.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.38,7,0,1.0,5.0,1.0,0,0
1053,female,23,26,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,5.0,9.0,9.0,,,,40.0,5.0,20.0,10.0,10.0,15.0,6.0,7.0,6.0,6.0,6.0,6.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.21,7,0,1.0,7.0,2.0,0,0
1054,female,23,27,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,9.0,5.0,9.0,9.0,9.0,5.0,20.0,15.0,25.0,15.0,20.0,5.0,6.0,8.0,6.0,6.0,4.0,4.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.59,7,0,1.0,7.0,1.0,0,0
1055,female,23,25,Latino/Hispanic American,Black/African American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,7.0,9.0,9.0,7.0,9.0,7.0,30.0,15.0,20.0,20.0,0.0,5.0,5.0,8.0,8.0,6.0,4.0,6.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,-0.2,7,0,1.0,7.0,1.0,0,0
1056,female,23,22,Latino/Hispanic American,Latino/Hispanic American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,5.0,9.0,9.0,,,,10.0,20.0,35.0,10.0,5.0,20.0,10.0,10.0,10.0,8.0,8.0,,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.09,7,0,1.0,9.0,1.0,0,1
1057,female,23,21,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,9.0,9.0,9.0,9.0,9.0,9.0,19.0,24.0,21.0,23.0,5.0,8.0,6.5,7.0,6.5,5.0,5.0,5.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.65,7,0,1.0,10.0,1.0,0,1
1058,female,23,24,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,7.0,4.0,7.0,2.0,2.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0,7.0,7.0,5.0,5.0,4.0,3.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.51,7,0,1.0,5.0,1.0,0,0
1059,female,23,25,Latino/Hispanic American,Asian/Pacific Islander/Asian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,7.0,10.0,10.0,6.0,10.0,6.0,15.0,10.0,30.0,10.0,5.0,30.0,7.0,10.0,8.0,8.0,8.0,3.0,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.59,7,0,1.0,9.0,3.0,0,1
106,male,27,22,European/Caucasian-American,Asian/Pacific Islander/Asian-American,7,3,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8,9,7,8,5,7.0,8.0,8.0,8.0,7.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8.0,8.0,5.0,7.0,4.0,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.19,7,3,0.0,7.0,4.0,0,0
1060,female,23,28,Latino/Hispanic American,European/Caucasian-American,1,4,Social Work,10.0,25.0,20.0,10.0,20.0,15.0,3,10,3,8,8,2.0,2.0,5.0,2.0,,8.0,20.0,20.0,15.0,15.0,5.0,25.0,5.0,5.0,7.0,4.0,6.0,,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0.79,7,0,1.0,2.0,1.0,0,0
